id	tvsc.num	tvsc.neg.score	tvsc.neg.p.value	tvsc.neg.fdr	tvsc.neg.rank	tvsc.neg.goodsgrna	tvsc.neg.lfc	tvsc.pos.score	tvsc.pos.p.value	tvsc.pos.fdr	tvsc.pos.rank	tvsc.pos.goodsgrna	tvsc.pos.lfc	tvsp.num	tvsp.neg.score	tvsp.neg.p.value	tvsp.neg.fdr	tvsp.neg.rank	tvsp.neg.goodsgrna	tvsp.neg.lfc	tvsp.pos.score	tvsp.pos.p.value	tvsp.pos.fdr	tvsp.pos.rank	tvsp.pos.goodsgrna	tvsp.pos.lfc	tvsc.enriched	tvsc.depleted	tvsp.enriched	tvsp.depleted	sig.enriched	sig.depleted	sig
Bap1	5	0.89999	0.90038	1	15710	0	1.1285	0.00013958	0.00063608	0.036919	312	4	1.1285	5	0.0099058	0.032699	0.468607	1257	4	-0.32344	0.95649	0.95673	1	16611	0	-0.32344	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Dhdds	5	0.90016	0.90054	1	15711	0	0.39988	0.16433	0.32164	1	4894	3	0.39988	5	0.0021716	0.0084727	0.205916	745	4	-0.44229	0.95075	0.951	1	16467	0	-0.44229	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Gjd2	5	0.90024	0.90062	1	15712	0	0.2239	0.14115	0.28638	1	4447	2	0.2239	5	0.99419	0.9942	1	18114	0	0.41099	0.016026	0.052186	0.78569	1215	4	0.41099	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Adora2a	5	0.90025	0.90063	1	15713	0	0.27824	0.18826	0.35703	1	5398	3	0.27824	5	0.97495	0.97508	1	17526	0	0.11785	0.33669	0.49793	1	8607	2	0.11785	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Rln3	5	0.90031	0.90069	1	15714	0	0.43107	0.035393	0.10408	0.834032	2250	4	0.43107	5	0.99538	0.99538	1	18156	0	0.42589	0.0043686	0.018116	0.584479	565	4	0.42589	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Helq	5	0.90036	0.90074	1	15715	0	0.23083	0.28569	0.45731	1	6959	2	0.23083	5	0.064629	0.14721	0.962823	2765	2	0.18798	0.51557	0.65896	1	11057	2	0.18798	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Snapc5	5	0.90041	0.9008	1	15716	0	1.3354	0.0018417	0.0080788	0.186033	784	4	1.3354	5	0.27453	0.40562	1	6291	2	-0.18285	0.89924	0.89964	1	15403	0	-0.18285	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Ncapg	5	0.90044	0.90082	1	15717	0	0.3173	0.14817	0.29711	1	4581	2	0.3173	5	0.034941	0.090113	0.796194	2037	3	-0.57477	0.76041	0.78474	1	13305	1	-0.57477	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Phkg2	5	0.90054	0.90093	1	15718	0	0.18049	0.50836	0.65284	1	10403	2	0.18049	5	0.54464	0.60299	1	9573	1	0.054196	0.42792	0.57913	1	9848	2	0.054196	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Stk38	5	0.90059	0.90097	1	15719	0	0.40194	0.12111	0.25513	1	4025	3	0.40194	5	0.85685	0.85712	1	14656	0	-0.11252	0.89369	0.89413	1	15284	0	-0.11252	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Kcne1l	5	0.90074	0.90112	1	15720	0	0.054694	0.72309	0.7666	1	12830	1	0.054694	5	0.945	0.94526	1	16712	0	0.2818	0.06718	0.16626	0.935086	3242	3	0.2818	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Lce1j	2	0.90076	0.90064	1	15721	0	0.80882	0.074692	0.12966	0.922266	3072	2	0.80882	2	0.0059075	0.011436	0.245823	1050	2	-0.64877	0.99409	0.99409	1	17688	0	-0.64877	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Lrrc14	5	0.90079	0.90118	1	15722	0	0.15669	0.88411	0.88459	1	15458	0	0.15669	5	0.97474	0.97486	1	17523	0	0.28735	0.10642	0.23076	0.978849	4303	3	0.28735	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Tas2r118	5	0.90084	0.90123	1	15723	0	0.25836	0.39822	0.5547	1	8639	2	0.25836	5	0.43665	0.54611	1	8566	1	0.29655	0.043694	0.12497	0.881602	2576	4	0.29655	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Exoc8	5	0.90085	0.90125	1	15724	0	0.55983	0.0078866	0.028986	0.412018	1267	4	0.55983	5	0.47319	0.56429	1	8878	1	0.16825	0.089438	0.20325	0.962415	3859	2	0.16825	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Mxd3	5	0.90098	0.90137	1	15725	0	0.21472	0.52464	0.66771	1	10685	2	0.21472	5	0.61664	0.64751	1	10390	1	0.082575	0.18285	0.34868	1	6247	2	0.082575	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Polr1e	5	0.901	0.90141	1	15726	0	0.6251	0.075813	0.18235	1	3098	3	0.6251	5	0.22161	0.34852	1	5465	2	0.10806	0.88068	0.88116	1	15034	0	0.10806	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
