id	treatment_vs_control.LFC	treatment_vs_control.FDR	treatment_vs_plasmid.LFC	treatment_vs_plasmid.FDR
Ambra1	-1.0759	0.002475	-0.25804	1
Errfi1	-0.76488	0.00495	-0.01873	1
Zfp191	-0.3391	0.017327	-0.25391	1
Arhgef16	-0.55331	0.034653	-0.050577	1
C030039L03Rik	-1.0249	0.079589	-0.12114	1
Cd226	-0.99188	0.079589	-0.31796	1
