id	tvsc.num	tvsc.neg.score	tvsc.neg.p.value	tvsc.neg.fdr	tvsc.neg.rank	tvsc.neg.goodsgrna	tvsc.neg.lfc	tvsc.pos.score	tvsc.pos.p.value	tvsc.pos.fdr	tvsc.pos.rank	tvsc.pos.goodsgrna	tvsc.pos.lfc	tvsp.num	tvsp.neg.score	tvsp.neg.p.value	tvsp.neg.fdr	tvsp.neg.rank	tvsp.neg.goodsgrna	tvsp.neg.lfc	tvsp.pos.score	tvsp.pos.p.value	tvsp.pos.fdr	tvsp.pos.rank	tvsp.pos.goodsgrna	tvsp.pos.lfc	tvsc.enriched	tvsc.depleted	tvsp.enriched	tvsp.depleted	sig.enriched	sig.depleted	sig
Ncbp2	5	3.034e-05	0.00014108	0.10396	25	3	-0.56194	0.89113	0.89158	0.999998	16129	0	-0.56194	5	1.8224e-05	7.9812e-05	0.007351	199	5	-3.4601	0.99908	0.99907	1	18021	0	-3.4601	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Pcx	5	3.1923e-05	0.00015183	0.107578	26	5	-1.244	0.99997	0.99997	0.999998	18419	0	-1.244	5	0.0051452	0.021445	0.334234	1150	5	-1.3478	0.99485	0.99486	1	17749	0	-1.3478	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sgk3	5	3.5075e-05	0.00016473	0.109088	27	3	-1.304	0.97589	0.97605	0.999998	17833	0	-1.304	5	0.028168	0.087747	0.791229	2001	3	-0.29705	0.92959	0.9299	1	16255	0	-0.29705	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Dnajc27	5	3.5439e-05	0.0001658	0.109088	28	4	-1.9645	0.94514	0.9454	0.999998	17238	0	-1.9645	5	0.015764	0.055074	0.614896	1603	4	-1.442	0.80423	0.81713	1	14227	1	-1.442	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Asns	5	3.7518e-05	0.0001787	0.11352	29	5	-1.9757	0.99996	0.99996	0.999998	18418	0	-1.9757	5	1.1023e-05	4.864e-05	0.00512	172	5	-1.8951	0.99999	0.99999	1	18324	0	-1.8951	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Gmppb	5	3.8585e-05	0.00018515	0.113696	30	5	-2.5673	0.99688	0.99686	0.999998	18319	0	-2.5673	5	8.4798e-11	2.6873e-07	0.00019	1	5	-5.0157	1	1	1	18422	0	-5.0157	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Ntm	5	4.2766e-05	0.00020558	0.122165	31	5	-1.1397	0.99996	0.99996	0.999998	18417	0	-1.1397	5	0.019228	0.064435	0.669501	1731	4	-0.74926	0.98559	0.98569	1	17452	0	-0.74926	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Traf2	5	4.8685e-05	0.00023191	0.133509	32	5	-1.8043	0.99995	0.99995	0.999998	18416	0	-1.8043	5	0.0011593	0.0051991	0.127039	736	5	-1.4996	0.99884	0.99884	1	17989	0	-1.4996	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Mapkapk2	5	5.299e-05	0.00024965	0.139342	33	4	-1.7093	0.98329	0.98337	0.999998	18001	0	-1.7093	5	0.0095368	0.037775	0.483736	1399	4	-0.99027	0.58131	0.70553	1	12276	1	-0.99027	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Rnase6	5	5.4356e-05	0.00025717	0.139342	34	4	-1.2639	0.9082	0.90859	0.999998	16487	0	-1.2639	5	0.00076628	0.0034572	0.096644	643	5	-0.94126	0.99923	0.99922	1	18043	0	-0.94126	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
Uxs1	5	6.1905e-05	0.00028566	0.150354	35	5	-1.9123	0.99994	0.99994	0.999998	18415	0	-1.9123	5	2.4885e-06	1.1018e-05	0.001851	106	5	-2.6347	0.99998	0.99998	1	18307	0	-2.6347	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
