id	treatment_vs_control.LFC	treatment_vs_control.FDR	treatment_vs_plasmid.LFC	treatment_vs_plasmid.FDR
Pfkfb1	2.3165	0.010314	1.7838	0.061881
Hira	2.1364	0.005569	1.86	0.00495
