id	treatment_vs_control.LFC	treatment_vs_control.FDR	treatment_vs_plasmid.LFC	treatment_vs_plasmid.FDR
Cnot2	-1.7905	0.002475	-1.5428	0.026136
Foxa2	-1.4975	0.009076	-1.4132	0.019759
Syvn1	-2.739	0.027799	-2.3586	0.071077
Eif2b5	-2.4936	0.027799	-4.182	0.00019
Prelid1	-4.0049	0.027799	-5.4155	0.00019
Eif4a3	-2.7811	0.030033	-5.5165	0.000391
Taf12	-2.042	0.044033	-2.1254	0.015178
Polr2h	-2.6041	0.044033	-4.1876	0.002532
Adk	-2.5902	0.044033	-3.0642	0.011605
