contrast	depleted	enriched
cl1_vs_flfl	1224	10768
cl1_vs_pFH	14811	15345
cl1_vs_plasmid	7677	13137
flfl_vs_plasmid	213	1366
pFH_vs_flfl	39	4409
pFH_vs_plasmid	110	2203
