id	treatment_vs_control.LFC	treatment_vs_control.FDR	treatment_vs_plasmid.LFC	treatment_vs_plasmid.FDR
Hira	1.9078	0.00297	1.86	0.00495
Pfkfb1	2.0184	0.005776	1.7838	0.061881
