id	treatment_vs_control.LFC	treatment_vs_control.FDR	treatment_vs_plasmid.LFC	treatment_vs_plasmid.FDR
Dlst	2.0543	0.036854	1.2055	0.20754
Sdha	1.8207	0.035272	1.1116	0.303564
Slc6a4	1.6132	0.066157	1.4952	0.267052
Npepps	1.0943	0.061881	1.1856	0.20754
Sdhb	1.7804	0.010608	1.0812	0.496005
Iba57	1.2146	0.088696	0.74818	0.635384
Glrx5	1.771	0.002475	0.66787	0.608007
Ogdh	1.7712	0.00165	1.0139	0.303564
Pfkl	2.4074	0.00165	1.2569	0.194169
Ube2m	1.9136	0.00165	0.95422	0.267052
