id	tvsc.num	tvsc.neg.score	tvsc.neg.p.value	tvsc.neg.fdr	tvsc.neg.rank	tvsc.neg.goodsgrna	tvsc.neg.lfc	tvsc.pos.score	tvsc.pos.p.value	tvsc.pos.fdr	tvsc.pos.rank	tvsc.pos.goodsgrna	tvsc.pos.lfc	tvsp.num	tvsp.neg.score	tvsp.neg.p.value	tvsp.neg.fdr	tvsp.neg.rank	tvsp.neg.goodsgrna	tvsp.neg.lfc	tvsp.pos.score	tvsp.pos.p.value	tvsp.pos.fdr	tvsp.pos.rank	tvsp.pos.goodsgrna	tvsp.pos.lfc	tvsc.enriched	tvsc.depleted	tvsp.enriched	tvsp.depleted	sig.enriched	sig.depleted	sig
Nf2	5	2.8276e-11	2.6873e-07	0.00055	1	4	-1.7254	0.86357	0.86384	1	15386	0	-1.7254	5	0.20268	0.3841	1	5823	3	-0.40559	0.86781	0.86839	1	15122	1	-0.40559	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Romo1	5	3.1616e-10	2.6873e-07	0.00055	2	5	-2.2623	0.99995	0.99995	1	18387	0	-2.2623	5	0.0099781	0.039016	0.492975	1420	4	-1.0519	0.39274	0.5509	1	9777	1	-1.0519	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Syvn1	5	4.6189e-10	2.6873e-07	0.00055	3	5	-2.9258	1	1	1	18422	0	-2.9258	5	0.00049536	0.0022726	0.071077	579	4	-2.3586	0.97853	0.97864	1	17287	0	-2.3586	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Qrich1	5	6.3132e-09	2.6873e-07	0.00055	4	5	-1.3289	0.99238	0.99245	1	18015	0	-1.3289	5	0.91819	0.91852	1	16329	0	-0.2124	0.88966	0.89015	1	15532	0	-0.2124	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Gmppb	5	1.9712e-08	2.6873e-07	0.00055	5	5	-4.2815	1	1	1	18421	0	-4.2815	5	8.4798e-11	2.6873e-07	0.00019	1	5	-5.0157	1	1	1	18422	0	-5.0157	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Phb2	5	2.5484e-08	2.6873e-07	0.00055	6	4	-2.5325	0.96543	0.96562	1	17343	0	-2.5325	5	0.0022362	0.0097449	0.196842	891	3	-2.2618	0.77865	0.80033	1	13908	1	-2.2618	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Eif2b4	5	3.3151e-08	2.6873e-07	0.00055	7	5	-3.2743	1	1	1	18420	0	-3.2743	5	7.7759e-09	2.6873e-07	0.00019	5	5	-3.5276	1	1	1	18362	0	-3.5276	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
Fau	5	3.9228e-08	2.6873e-07	0.00055	8	5	-1.6133	0.99897	0.99896	1	18269	0	-1.6133	5	0.003474	0.014782	0.262186	1018	4	-0.95198	0.66143	0.73843	1	12853	1	-0.95198	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Ccdc84	5	7.4047e-08	2.6873e-07	0.00055	9	4	-2.2414	0.77894	0.79193	1	14055	1	-2.2414	5	0.0080474	0.032426	0.445062	1306	3	-1.5878	0.2794	0.45387	1	8171	2	-1.5878	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Polr2j	5	2.4166e-07	8.0618e-07	0.001485	10	5	-2.3499	1	1	1	18419	0	-2.3499	5	9.349e-11	2.6873e-07	0.00019	2	5	-3.2633	1	1	1	18421	0	-3.2633	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE
